timestamp;pedestrians_count
20221130;4751
20221201;25905
20221202;23087
20221203;43260
20221204;24616
20221205;20381
20221206;20432
20221207;23102
20221208;24873
20221209;29738
20221210;41068
20221211;22159
20221212;20719
20221213;21746
20221214;19181
20221215;23788
20221216;27303
20221217;37190
20221218;17365
20221219;22053
20221220;27228
20221221;23722
20221222;27023
20221223;23475
20221224;16972
20221225;6305
20221226;5687
20221227;17291
20221228;16478
20221229;15938
20221230;16114
20221231;15784
20230101;9869
20230102;14317
20230103;15191
20230104;10831
20230105;15996
20230106;8108
20230107;20697
20230108;6533
20230109;12468
20230110;12822
20230111;11191
20230112;12840
20230113;14977
20230114;18890
20230115;6051
20230116;12630
20230117;14184
20230118;10852
20230119;12992
20230120;14804
20230121;17097
20230122;6808
20230123;12316
20230124;13015
20230125;11991
20230126;12960
20230127;14994
20230128;18747
20230129;7172
20230130;11126
20230131;12536
20230201;11619
20230202;7020
20230203;14156
20230204;23738
20230205;8934
20230206;12570
20230207;15003
20230208;13847
20230209;14510
20230210;14893
20230211;19758
20230212;7877
20230213;13330
20230214;13943
20230215;12612
20230216;14672
20230217;15809
20230218;20199
20230219;7774
20230220;16342
20230221;16867
20230222;15845
20230223;14009
20230224;15936
20230225;16917
20230226;7242
20230227;11999
20230228;13570
20230301;13357
20230302;15610
20230303;18628
20230304;18818
20230305;6679
20230306;11689
20230307;12804
20230308;7745
20230309;12870
20230310;12926
20230311;19839
20230312;7821
20230313;14289
20230314;10351
20230315;11189
20230316;15325
20230317;18391
20230318;26357
20230319;9126
20230320;13822
20230321;16005
20230322;16697
20230323;13781
20230324;14896
20230325;25287
20230326;7181
20230327;11061
20230328;13240
20230329;13317
20230330;12199
20230331;15325
20230401;18853
20230402;9672
20230403;15055
20230404;15647
20230405;15876
20230406;19287
20230407;10300
20230408;20909
20230409;11127
20230410;13223
20230411;16380
20230412;10718
20230413;16287
20230414;18577
20230415;16710
20230416;9594
20230417;15073
20230418;15916
20230419;15326
20230420;15885
20230421;21982
20230422;26418
20230423;12459
20230424;13579
20230425;13992
20230426;14522
20230427;17427
20230428;15169
20230429;23476
20230430;14092
20230501;9855
20230502;15261
20230503;16994
20230504;18712
20230505;18651
20230506;24730
20230507;11620
20230508;15415
20230509;18290
20230510;13918
20230511;7346
20230512;17257
20230513;23818
20230514;11897
20230515;15331
20230516;15067
20230517;17112
20230518;14746
20230519;20572
20230520;29374
20230521;14851
20230522;16797
20230523;16028
20230524;15773
20230525;33886
20230526;41226
20230527;55522
20230528;52511
20230529;31642
20230530;28510
20230531;28017
20230601;31215
20230602;38834
20230603;55152
20230604;27156
20230605;24862
20230606;18892
20230607;18107
20230608;8041
20230609;21583
20230610;22907
20230611;12513
20230612;14715
20230613;16187
20230614;15746
20230615;16198
20230616;16841
20230617;23679
20230618;9680
20230619;14250
20230620;15371
20230621;15384
20230622;13884
20230623;15782
20230624;25334
20230625;11817
20230626;14099
20230627;16604
20230628;16844
20230629;17576
20230630;17734
20230701;23390
20230702;11996
20230703;15820
20230704;17099
20230705;15514
20230706;18115
20230707;19326
20230708;19928
20230709;9626
20230710;14267
20230711;13621
20230712;15483
20230713;17699
20230714;18819
20230715;14875
20230716;10333
20230717;15994
20230718;16061
20230719;14539
20230720;17180
20230721;16729
20230722;22764
20230723;10899
20230724;13372
20230725;12422
20230726;13761
20230727;11426
20230728;17813
20230729;21297
20230730;11858
20230731;17217
20230801;13544
20230802;9690
20230803;17548
20230804;15913
20230805;21946
20230806;6842
20230807;11066
20230808;15778
20230809;12333
20230810;16589
20230811;16046
20230812;14658
20230813;8742
20230814;15378
20230815;18051
20230816;14541
20230817;12931
20230818;16780
20230819;16966
20230820;8110
20230821;13507
20230822;14436
20230823;14125
20230824;14401
20230825;15047
20230826;18286
20230827;7910
20230828;13097
20230829;14133
20230830;14602
20230831;16507
20230901;13771
20230902;20999
20230903;9847
20230904;15966
20230905;16618
20230906;16096
20230907;17182
20230908;19524
20230909;23880
20230910;12053
20230911;16466
20230912;17065
20230913;15860
20230914;18486
20230915;22141
20230916;25303
20230917;12123
20230918;13349
20230919;17066
20230920;17380
20230921;19157
20230922;16478
20230923;26133
20230924;11868
20230925;15862
20230926;15663
20230927;16265
20230928;17387
20230929;18431
20230930;26416
20231001;11813
20231002;19920
20231003;10525
20231004;14654
20231005;14577
20231006;19031
20231007;27773
20231008;9393
20231009;13160
20231010;16218
20231011;15898
20231012;12753
20231013;22487
20231014;24328
20231015;12960
20231016;17644
20231017;16082
20231018;15247
20231019;15309
20231020;20093
20231021;37368
20231022;12909
20231023;14670
20231024;10850
20231025;12858
20231026;16347
20231027;16201
20231028;20715
20231029;9397
20231030;18304
20231031;19961
20231101;13429
20231102;11852
20231103;17992
20231104;21681
20231105;7168
20231106;14149
20231107;14769
20231108;15041
20231109;15764
20231110;19381
20231111;21269
20231112;10364
20231113;8147
20231114;14602
20231115;13505
20231116;13476
20231117;19865
20231118;24122
20231119;8825
20231120;15064
20231121;17267
20231122;15954
20231123;17015
20231124;16561
20231125;20922
20231126;10253
20231127;16512
20231128;19788
20231129;23416
20231130;25365
20231201;28932
20231202;42100
20231203;23254
20231204;21110
20231205;25492
20231206;21011
20231207;26993
20231208;22891
20231209;40304
20231210;24070
20231211;22354
20231212;23819
20231213;22425
20231214;25776
20231215;31608
20231216;46032
20231217;26787
20231218;28888
20231219;29652
20231220;27076
20231221;23735
20231222;27415
20231223;25385
20231224;9756
20231225;5809
20231226;7745
20231227;18716
20231228;18401
20231229;18806
20231230;19336
20231231;9593
20240101;9432
20240102;8959
20240103;10900
20240104;13322
20240105;16804
20240106;8917
20240107;6496
20240108;11646
20240109;12452
20240110;11693
20240111;12564
20240112;13124
20240113;17919
20240114;8365
20240115;10811
20240116;12411
20240117;8116
20240118;10322
20240119;17850
20240120;19778
20240121;7724
20240122;11234
20240123;13617
20240124;11839
20240125;14318
20240126;12488
20240127;23157
20240128;9751
20240129;13504
20240130;14039
20240131;13916
20240201;14117
20240202;17575
20240203;22561
20240204;9742
20240205;15301
20240206;14553
20240207;8490
20240208;12232
20240209;14054
20240210;23036
20240211;6923
20240212;13367
20240213;16392
20240214;14694
20240215;17465
20240216;19044
20240217;24796
20240218;9980
20240219;12542
20240220;14072
20240221;13989
20240222;9544
20240223;16691
20240224;22602
20240225;11204
20240226;13592
20240227;13690
20240228;13270
20240229;15149
20240301;17373
20240302;25455
20240303;13970
20240304;12889
20240305;12484
20240306;13099
20240307;13653
20240308;18542
20240309;26758
20240310;9743
20240311;14065
20240312;12099
20240313;13056
20240314;16144
20240315;18713
20240316;20255
20240317;11202
20240318;13117
20240319;15533
20240320;15882
20240321;14817
20240322;21408
20240323;23247
20240324;7927
20240325;15958
20240326;17337
20240327;15492
20240328;17936
20240329;8770
20240330;25254
20240331;11869
20240401;8280
20240402;16436
20240403;13561
20240404;13553
20240405;20885
20240406;28086
20240407;14564
20240408;17006
20240409;13282
20240410;16749
20240411;19444
20240412;22567
20240413;28272
20240414;14112
20240415;14784
20240416;12510
20240417;13676
20240418;15784
20240419;10698
20240420;21202
20240421;5469
20240422;14410
20240423;15079
20240424;12989
20240425;14550
20240426;18079
20240427;28344
20240428;12266
20240429;16569
20240430;20033
20240501;16207
20240502;14107
20240503;17398
20240504;24574
20240505;8156
20240506;13067
20240507;14581
20240508;19070
20240509;20077
20240510;26431
20240511;29545
20240512;15029
20240513;16317
20240514;18302
20240515;17342
20240516;26575
20240517;26230
20240518;53671
20240519;51913
20240520;37717
20240521;18688
20240522;26313
20240523;34519
20240524;36265
20240525;58159
20240526;32622
20240527;25464
20240528;19250
20240529;17075
20240530;21395
20240531;22689
20240601;24493
