category,Höchstwert,Tiefstwert,Mittelwert
Mo 01.01.,8.2,4,5.9
Di 02.01.,9.9,4.6,6.8
Mi 03.01.,10.3,7.5,8.8
Do 04.01.,8.9,2.9,6.7
Fr 05.01.,8.2,1.6,4.8
Sa 06.01.,4.6,0.3,2.6
So 07.01.,4.1,-2.5,0.3
Mo 08.01.,-2.1,-7.4,-4.3
Di 09.01.,1.4,-8.2,-3.4
Mi 10.01.,1.3,-6.9,-3.3
Do 11.01.,1.5,-9.3,-5
Fr 12.01.,-1.4,-6.6,-2.6
Sa 13.01.,-0.9,-2.3,-1.7
So 14.01.,0.3,-5.8,-2.4
Mo 15.01.,0,-4.1,-1.4
Di 16.01.,0.8,-8.3,-2
Mi 17.01.,7.2,-8.3,-0.5
Do 18.01.,5.5,-2.3,1.1
Fr 19.01.,-0.3,-3.4,-1.7
Sa 20.01.,1.4,-8.7,-3.3
So 21.01.,2.9,-9.9,-3.1
Mo 22.01.,7.5,0.2,4.3
Di 23.01.,7.5,4.5,5.9
Mi 24.01.,14.6,5,9.9
Do 25.01.,8.6,1.4,5.8
Fr 26.01.,9.8,3,6.4
Sa 27.01.,7.4,-3.9,1.4
So 28.01.,9.7,-5.4,0.4
Mo 29.01.,9.9,-4.6,1.2
Di 30.01.,8.5,-2.7,2.4
Mi 31.01.,9.1,2.4,5.9
Do 01.02.,9,-0.1,6
Fr 02.02.,8.8,-1.5,4.3
Sa 03.02.,8.3,6.2,7.5
So 04.02.,9.1,6.9,8.2
Mo 05.02.,11.9,1.6,7.7
Di 06.02.,9.3,5.1,7.3
Mi 07.02.,9.5,5,7.9
Do 08.02.,10.6,7.2,9
Fr 09.02.,13.9,7.8,10.2
Sa 10.02.,12.5,4.7,8.9
So 11.02.,8.2,3.7,6.2
Mo 12.02.,8.8,2.6,6.4
Di 13.02.,9.6,-0.1,3.7
Mi 14.02.,9.9,1.2,6.1
Do 15.02.,14.9,7.2,10.1
Fr 16.02.,14.3,5.6,10.2
Sa 17.02.,13.3,7.4,10.4
So 18.02.,13.5,6.5,9.5
Mo 19.02.,9.4,7.7,8.4
Di 20.02.,10.4,6.1,7.7
Mi 21.02.,12.1,3.9,8.4
Do 22.02.,11.3,7.7,9.3
Fr 23.02.,10,2.1,6.2
Sa 24.02.,10.2,0.4,4.5
So 25.02.,11.1,-1.1,4.3
Mo 26.02.,12.6,0.3,6.8
Di 27.02.,10.7,3.8,7
Mi 28.02.,9.3,-0.9,4.9
Do 29.02.,10.6,-1.7,4.2
Fr 01.03.,9.7,-1.3,4.2
Sa 02.03.,13.2,3.1,7.7
So 03.03.,16.2,1,8.4
Mo 04.03.,10.1,-0.1,6.2
Di 05.03.,12.2,6.4,8.1
Mi 06.03.,10.9,1.7,7.5
Do 07.03.,7.9,-0.6,3.8
Fr 08.03.,10.8,0.3,5
Sa 09.03.,14.3,-2.5,6.2
So 10.03.,13.4,5.4,9.3
Mo 11.03.,14.9,2.3,8.8
Di 12.03.,10,-0.8,5.4
Mi 13.03.,11.2,5.2,8.2
Do 14.03.,16.3,6,10.5
Fr 15.03.,17.8,4,10.6
Sa 16.03.,13.9,4.4,9.8
So 17.03.,12.6,2.2,7.1
Mo 18.03.,12.2,1.8,7.9
Di 19.03.,15.2,4.3,9
Mi 20.03.,17.7,1.1,9.3
Do 21.03.,16.3,3.4,8.4
Fr 22.03.,17.3,1.1,9.8
Sa 23.03.,11.3,3.8,8.1
So 24.03.,7.8,2.1,4.6
Mo 25.03.,10.8,0.1,6
Di 26.03.,15,-2.1,6.8
Mi 27.03.,19.2,2.1,9.5
Do 28.03.,12.2,3.3,7.2
Fr 29.03.,15.7,4.2,9.3
Sa 30.03.,21,5.7,13.5
So 31.03.,19.8,5.7,12.1
Mo 01.04.,14.1,6.5,10.3
Di 02.04.,13.3,7.4,9.7
Mi 03.04.,14.1,7.4,9.8
Do 04.04.,14.5,7.1,10.5
Fr 05.04.,22,6.8,14.6
Sa 06.04.,25.9,9.8,17.3
So 07.04.,23.6,8.2,16.5
Mo 08.04.,28.2,12,19.6
Di 09.04.,21.1,7.2,13
Mi 10.04.,13.5,3.4,8.9
Do 11.04.,18.7,1.3,10
Fr 12.04.,21.2,3.1,12.5
Sa 13.04.,23.7,6.7,14.7
So 14.04.,22.9,7.6,15.5
Mo 15.04.,17.7,4.9,12.1
Di 16.04.,10,1.9,6.2
Mi 17.04.,10.4,3.3,6.3
Do 18.04.,10.5,2.5,5.9
Fr 19.04.,6.8,3.4,5.1
Sa 20.04.,9.4,4.4,6.2
So 21.04.,5.5,0.7,3.5
Mo 22.04.,8.9,-1.9,3.7
Di 23.04.,10.2,-1,4.9
Mi 24.04.,7.6,-1.2,3.7
Do 25.04.,9.2,2.3,5.2
Fr 26.04.,14.1,0.5,8.4
Sa 27.04.,21.2,4.3,12.7
So 28.04.,21.7,4.4,14
Mo 29.04.,22.9,8.9,15.2
Di 30.04.,27.5,8.6,18.6
Mi 01.05.,25.5,11.6,19.5
Do 02.05.,24.3,12.4,17
Fr 03.05.,14.2,9.5,12.2
Sa 04.05.,18.6,7.6,13.1
So 05.05.,18.5,9.4,13.9
Mo 06.05.,18.8,9.3,13.8
Di 07.05.,13.1,10.3,11.9
Mi 08.05.,14.7,7.1,11.8
Do 09.05.,20.5,5.2,13
Fr 10.05.,22.3,6.1,14.7
Sa 11.05.,23.6,6.2,15.4
So 12.05.,24.7,8.1,17.4
Mo 13.05.,25,9.7,18